Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testów;;;;;;;Dodatkowe5G
91;Vivo;x60;Non-Standalone (NSA);n78;-;b77;3;16;Kraków;;;;;;;
92;Apple;12pro;Standalone (SA);n14;-;-;4;18;Dallas;;;;;;;
93;Samsung;Ultra;Non-Standalone (NSA);n8;-;b5;5;21;Warszawa;;;;;;;
94;Apple;13mini;Standalone (SA);n5;n8;b5;7;32;Dallas;;;;;;;
95;Oppo;A94;Non-Standalone (NSA);n14;-;b14;2;52;Warszawa;;;;;;;
96;Xiaomi;12pro;Standalone (SA);n8;n14;-;3;45;Ulm;;;;;;;
97;OnePlus;7;Standalone (SA);n28;-;-;6;25;Kraków;;;;;;;
98;Samsung;21;Standalone (SA);n1;-;-;5;35;Londyn;;;;;;;
99;Vivo;x60;Non-Standalone (NSA);n1;n8;b20;4;40;Warszawa;;;;;;;
100;Apple;12pro;Non-Standalone (NSA);n20;n28;-;2;40;Dallas;;;;;;;
