Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testów;;;;;;;Dodatkowe5G
87;Vivo;5s;Standalone (SA);n8;-;b5;8;51;Kraków;;;;;;;
88;Xiaomi;12pro;Standalone (SA);n14;n5;-;6;25;Pekin;;;;;;;
89;OnePlus;35;Standalone (SA);n20;-;b28;6;42;Ulm;;;;;;;
90;Samsung;49;Standalone (SA);n3;n1;-;4;12;Ulm;;;;;;;
91;Samsung;Ultra;Standalone (SA);n5;n8;-;6;28;Pary¿;;;;;;;
92;Apple;13mini;Standalone (SA);n20;-;-;3;32;Kraków;;;;;;;
93;Apple;11pro;Standalone (SA);n28;-;b1;4;29;Ulm;;;;;;;
94;Samsung;Ultra;Standalone (SA);n1;n14;b14;5;50;Pary¿;;;;;;;
95;Apple;13mini;Standalone (SA);n41;n40;b40;2;45;Kraków;;;;;;;
96;Samsung;S23;Standalone (SA);n77;n78;-;5;23;Warszawa;;;;;;;
97;Oppo;4x;Standalone (SA);n47;-;b47;3;38;Dallas;;;;;;;
98;Vivo;5s;Standalone (SA);n77;-;b77;6;16;Warszawa;;;;;;;
99;Xiaomi;12pro;Standalone (SA);n5;n8;-;4;14;Pekin;;;;;;;
100;OnePlus;63;Standalone (SA);n1;n20;-;3;12;Dallas;;;;;;;
